pwm2_1:alarm,PWM2_1报警状态
pwm2_1:ctl,PWM2_1运行状态
pwm2_1:dig_in,PWM2_1电源状态输入
pwm2_1:dig_out,未用
pwm2_1:err_cmd,未用
pwm2_1:err_len,未用
pwm2_1:in_U,PWM2_1接入母排电压
pwm2_1:in_mask,未用
pwm2_1:index,PWM2_1设备ID
pwm2_1:load_C,PWM2_1负载电流
pwm2_1:load_U,PWM2_1负载电压
pwm2_1:max_ref_C,PWM2_1最大设定电流
pwm2_1:min_ref_C,PWM2_1最小设定电流
pwm2_1:out_mask,未用
pwm2_1:ref_C,PWM2_1电流设定值
pwm2_1:ref_C_Filter,未用
pwm2_1:temp,PWM2_1电源温度反馈
pwm3_10:alarm,未用
pwm3_10:ctl,未用
pwm3_10:dig_in,未用
pwm3_10:dig_out,未用
pwm3_10:err_cmd,未用
pwm3_10:err_len,未用
pwm3_10:in_U,未用
pwm3_10:in_mask,未用
pwm3_10:index,未用
pwm3_10:load_C,未用
pwm3_10:load_U,未用
pwm3_10:max_ref_C,未用
pwm3_10:min_ref_C,未用
pwm3_10:out_mask,未用
pwm3_10:ref_C,未用
pwm3_10:ref_C_Filter,未用
pwm3_10:temp,未用
pwm3_11:alarm,未用
pwm3_11:ctl,未用
pwm3_11:dig_in,未用
pwm3_11:dig_out,未用
pwm3_11:err_cmd,未用
pwm3_11:err_len,未用
pwm3_11:in_U,未用
pwm3_11:in_mask,未用
pwm3_11:index,未用
pwm3_11:load_C,未用
pwm3_11:load_U,未用
pwm3_11:max_ref_C,未用
pwm3_11:min_ref_C,未用
pwm3_11:out_mask,未用
pwm3_11:ref_C,未用
pwm3_11:ref_C_Filter,未用
pwm3_11:temp,未用
pwm3_12:alarm,未用
pwm3_12:ctl,未用
pwm3_12:dig_in,未用
pwm3_12:dig_out,未用
pwm3_12:err_cmd,未用
pwm3_12:err_len,未用
pwm3_12:in_U,未用
pwm3_12:in_mask,未用
pwm3_12:index,未用
pwm3_12:load_C,未用
pwm3_12:load_U,未用
pwm3_12:max_ref_C,未用
pwm3_12:min_ref_C,未用
pwm3_12:out_mask,未用
pwm3_12:ref_C,未用
pwm3_12:ref_C_Filter,未用
pwm3_12:temp,未用
pwm3_1:alarm,未用
pwm3_1:ctl,未用
pwm3_1:dig_in,未用
pwm3_1:dig_out,未用
pwm3_1:err_cmd,未用
pwm3_1:err_len,未用
pwm3_1:in_U,未用
pwm3_1:in_mask,未用
pwm3_1:index,未用
pwm3_1:load_C,未用
pwm3_1:load_U,未用
pwm3_1:max_ref_C,未用
pwm3_1:min_ref_C,未用
pwm3_1:out_mask,未用
pwm3_1:ref_C,未用
pwm3_1:ref_C_Filter,未用
pwm3_1:temp,未用
pwm3_2:alarm,未用
pwm3_2:ctl,未用
pwm3_2:dig_in,未用
pwm3_2:dig_out,未用
pwm3_2:err_cmd,未用
pwm3_2:err_len,未用
pwm3_2:in_U,未用
pwm3_2:in_mask,未用
pwm3_2:index,未用
pwm3_2:load_C,未用
pwm3_2:load_U,未用
pwm3_2:max_ref_C,未用
pwm3_2:min_ref_C,未用
pwm3_2:out_mask,未用
pwm3_2:ref_C,未用
pwm3_2:ref_C_Filter,未用
pwm3_2:temp,未用
pwmC01:alarm,未用
pwmC01:ctl,未用
pwmC01:dig_in,未用
pwmC01:dig_out,未用
pwmC01:err_cmd,未用
pwmC01:err_len,未用
pwmC01:in_U,未用
pwmC01:in_mask,未用
pwmC01:index,未用
pwmC01:load_C,未用
pwmC01:load_U,未用
pwmC01:max_ref_C,未用
pwmC01:min_ref_C,未用
pwmC01:out_mask,未用
pwmC01:ref_C,未用
pwmC01:ref_C_Filter,未用
pwmC01:temp,未用
pwm2_1:ctl_set,未用
pwm2_1:current_set,未用
pwm3_10:ctl_set,未用
pwm3_10:current_set,未用
pwm3_11:ctl_set,未用
pwm3_11:current_set,未用
pwm3_12:ctl_set,未用
pwm3_12:current_set,未用
pwm3_1:ctl_set,未用
pwm3_1:current_set,未用
pwm3_2:ctl_set,未用
pwm3_2:current_set,未用
pwmC01:ctl_set,未用
pwm2_1,未用
pwm3_1,未用
pwm3_10,未用
pwm3_11,未用
pwm3_12,未用
pwm3_2,未用
pwmC01,未用
